"produto_final","ingrediente","qtd_dosada","custo"
"RACAO MATRIZ REPRODUCAO 1","CALCARIO AVIC GRANULADO","6610","1240,682"
"RACAO MATRIZ REPRODUCAO 1","CARBONATO DE POTASSIO","117,575","1293,654"
"RACAO MATRIZ REPRODUCAO 1","FARELO DE SOJA 46/47%","35519,4","59847,69"
"RACAO MATRIZ REPRODUCAO 1","FARELO DE TRIGO GRANEL","4556","4651,164"
"RACAO MATRIZ REPRODUCAO 1","METIONINA DL-99 PO","391,963","5500,135"
"RACAO MATRIZ REPRODUCAO 1","SAL MOIDO P/ RACAO","509,422","713,1908"
"RACAO MATRIZ REPRODUCAO 1","TREONINA 98,5%","186,222","1609,5"
"RACAO MATRIZ REPRODUCAO 1","SORGO EM GRAO","133918,6","126724,2"
"RACAO MATRIZ REPRODUCAO 1","GALIPRO (SC C/25KG)","98,075","2647,759"
"RACAO MATRIZ REPRODUCAO 1","FOSFATO BIC 19%","1673,8","10346,21"
"RACAO MATRIZ REPRODUCAO 1","OLEO DE SOJA DEGOMADO","3192,35","21279,26"
"RACAO MATRIZ REPRODUCAO 1","ADITIVO CONSERVANTE ANTISALMONELA","392","1609,695"
"RACAO MATRIZ REPRODUCAO 1","VALINA","19,612","260,9887"
"RACAO MATRIZ REPRODUCAO 1","FOSFATIDILCOLINA 1,6%","58,91","922,7191"
"RACAO MATRIZ REPRODUCAO 1","PRECIZYON FIT 10000","19,597","368,6196"
"RACAO MATRIZ REPRODUCAO 1","SANGROVIT ED","19,663","3696,767"
"RACAO MATRIZ REPRODUCAO 1","MINERAL ORGANICO BR BTX","97,993","2528,757"
"RACAO MATRIZ REPRODUCAO 1","TRIPTOFANO","29,338","657,9301"
"RACAO MATRIZ REPRODUCAO 1","FERRO ORGANICO TRACE FE 22%","39,181","405,8765"
"RACAO MATRIZ REPRODUCAO 1","PX VIT/MIN MTZ REPRODUCAO","392,143","9532,996"
"RACAO MATRIZ REPRODUCAO 1","ACTIVE - D CONCENTRADO","14,696","2353,845"
"RACAO MATRIZ REPRODUCAO 1","ADITIVO COLOR UP","117,653","3200,162"
"RACAO MATRIZ REPRODUCAO 2","ADSORVENTE DE MICOTOXINAS NOTOX POUTRY","27,949","339,0099"
"RACAO MATRIZ REPRODUCAO 2","BICARBONATO DE SODIO","55,993","190,3762"
"RACAO MATRIZ REPRODUCAO 2","CALCARIO AVIC PO","955","153,706"
"RACAO MATRIZ REPRODUCAO 2","CALCARIO AVIC GRANULADO","1281","240,0963"
"RACAO MATRIZ REPRODUCAO 2","CARBONATO DE POTASSIO","27,957","307,6052"
"RACAO MATRIZ REPRODUCAO 2","FARELO DE SOJA 46/47%","4353","7335,435"
"RACAO MATRIZ REPRODUCAO 2","FARELO DE TRIGO GRANEL","733,6","748,9613"
"RACAO MATRIZ REPRODUCAO 2","LISINA 98/99%","15,398","154,8947"
"RACAO MATRIZ REPRODUCAO 2","METIONINA DL-99 PO","55,969","785,3727"
"RACAO MATRIZ REPRODUCAO 2","SAL MOIDO P/ RACAO","75,566","105,7924"
"RACAO MATRIZ REPRODUCAO 2","TREONINA 98,5%","34,972","295,0621"
"RACAO MATRIZ REPRODUCAO 2","SORGO EM GRAO","19722,8","18655,55"
"RACAO MATRIZ REPRODUCAO 2","GALIPRO (SC C/25KG)","14,02","378,502"
"RACAO MATRIZ REPRODUCAO 2","FOSFATO BIC 19%","201,2","1243,671"
"RACAO MATRIZ REPRODUCAO 2","OLEO DE SOJA DEGOMADO","336,1","2240,343"
"RACAO MATRIZ REPRODUCAO 2","ADITIVO CONSERVANTE ANTISALMONELA","56","229,9564"
"RACAO MATRIZ REPRODUCAO 2","VALINA","3,366","44,7934"
"RACAO MATRIZ REPRODUCAO 2","FOSFATIDILCOLINA 1,6%","7,029","110,0966"
"RACAO MATRIZ REPRODUCAO 2","PRECIZYON FIT 10000","2,796","52,59276"
"RACAO MATRIZ REPRODUCAO 2","SANGROVIT ED","2,8","526,4175"
"RACAO MATRIZ REPRODUCAO 2","MINERAL ORGANICO BR BTX","13,972","360,5542"
"RACAO MATRIZ REPRODUCAO 2","TRIPTOFANO","2,788","62,52332"
"RACAO MATRIZ REPRODUCAO 2","FERRO ORGANICO TRACE FE 22%","5,592","57,9276"
"RACAO MATRIZ REPRODUCAO 2","PX VIT/MIN MTZ REPRODUCAO","56,044","1362,43"
"RACAO MATRIZ REPRODUCAO 2","ACTIVE - D CONCENTRADO","2,098","336,0348"
"RACAO MATRIZ REPRODUCAO 2","ADITIVO COLOR UP","16,788","456,6336"
"RACAO MATRIZ REPRODUCAO 3","ADSORVENTE DE MICOTOXINAS NOTOX POUTRY","249,663","3028,31"
"RACAO MATRIZ REPRODUCAO 3","BICARBONATO DE SODIO","499,973","1699,908"
"RACAO MATRIZ REPRODUCAO 3","CALCARIO AVIC PO","6307,6","1015,877"
"RACAO MATRIZ REPRODUCAO 3","CALCARIO AVIC GRANULADO","15084,4","2833,509"
"RACAO MATRIZ REPRODUCAO 3","CARBONATO DE POTASSIO","299,77","3298,309"
"RACAO MATRIZ REPRODUCAO 3","FARELO DE SOJA 46/47%","32307,2","54429,25"
"RACAO MATRIZ REPRODUCAO 3","FARELO DE TRIGO GRANEL","7553,6","7710,999"
"RACAO MATRIZ REPRODUCAO 3","LISINA 98/99%","199,84","2010,272"
"RACAO MATRIZ REPRODUCAO 3","METIONINA DL-99 PO","500,019","7016,407"
"RACAO MATRIZ REPRODUCAO 3","SAL MOIDO P/ RACAO","674,732","944,6248"
"RACAO MATRIZ REPRODUCAO 3","TREONINA 98,5%","349,798","3062,928"
"RACAO MATRIZ REPRODUCAO 3","SORGO EM GRAO","180149,4","170506,5"
"RACAO MATRIZ REPRODUCAO 3","GALIPRO (SC C/25KG)","125,118","3377,847"
"RACAO MATRIZ REPRODUCAO 3","FOSFATO BIC 19%","1588","9815,855"
"RACAO MATRIZ REPRODUCAO 3","OLEO DE SOJA DEGOMADO","3004,8","20029,1"
"RACAO MATRIZ REPRODUCAO 3","ADITIVO CONSERVANTE ANTISALMONELA","500","2053,182"
"RACAO MATRIZ REPRODUCAO 3","VALINA","37,512","499,1949"
"RACAO MATRIZ REPRODUCAO 3","FOSFATIDILCOLINA 1,6%","75,119","1176,604"
"RACAO MATRIZ REPRODUCAO 3","PRECIZYON FIT 10000","24,965","469,5917"
"RACAO MATRIZ REPRODUCAO 3","SANGROVIT ED","25,01","4702,036"
"RACAO MATRIZ REPRODUCAO 3","MINERAL ORGANICO BR BTX","124,902","3223,156"
"RACAO MATRIZ REPRODUCAO 3","TRIPTOFANO","37,485","840,6336"
"RACAO MATRIZ REPRODUCAO 3","FERRO ORGANICO TRACE FE 22%","49,998","517,9299"
"RACAO MATRIZ REPRODUCAO 3","PX VIT/MIN MTZ REPRODUCAO","500,302","12162,34"
"RACAO MATRIZ REPRODUCAO 3","ACTIVE - D CONCENTRADO","18,763","3005,253"
"RACAO MATRIZ REPRODUCAO 3","ADITIVO COLOR UP","150,084","4082,285"

