"Reduz","Lote","Calo_Pe","Alojamento","Alojadas","Abatidas","% Mort","morte_perc","Idade","P.M.","densidade","C.A.","C.A.C.","viabilidade_lote","GPD","fator_prod","IEP","peso_total","pgto_ave_produtor","pag_ave","Custo Fomento","Custo Pinto","Custo Racao","Custo Medic","Custo FV","Custo Pega","Custo Integrado","controle_laudo","Custo Granja","Custo Plataforma","pgto_liquido_produtor","tipo_galpao","Pgto_Ave_Bon","vlr_med_peso","vlr_contribuicao_sind","IEL"
"#","7113","29,88","2025-10-31 00:00:00.000","25000","24246","3,02","3,02","45,77","3,405","13,89","1,633","1,587","96,98","74,39","441,81","272,67","82560","1,853111","1,77","0","0","2,8481","0,0221","0","0","0,5198","N","3,39","3,39","42915,42","automatizado","0,1467","0,033","0","13"
"#","5043","89,73","2025-10-31 00:00:00.000","31700","31080","1,96","1,96","42,42","2,944","13,21","1,697","1,754","98,04","69,4","400,95","250,14","91490","1,534968","1,49","0","0,8163","2,7878","0,0071","0","0","0,5062","P","4,1174","4,1174","46309,2","","0,1174","0,022","155,15","18"
"#","7533","35,25","2025-11-05 00:00:00.000","18000","17094","5,03","5,03","49","2,872","8,57","2,085","2,158","94,97","58","266,97","161,36","49100","0,81","0,81","0","1,0521","3,3159","0,0792","0","0","0,282","N","4,7292","4,7292","13846,14","Convencional","NULL","0,098","0","19"
"#","7449","85,66","2025-11-15 00:00:00.000","32200","31115","3,37","3,37","44,06","3,29","13,42","1,586","1,566","96,63","74,67","454,95","279,78","102370","1,485891","1,541","0","0,8118","2,6312","0,0161","0","0","0,4684","N","3,9275","3,9275","47948,21","Dark","0,2174","0,024","0","15"
"#","7196","76,31","2025-11-14 00:00:00.000","32500","31206","3,98","3,98","45,07","3,336","13,54","1,697","1,667","96,02","74,02","418,81","255,86","104090","1,364945","1,43","0","0,8059","2,8273","0,0058","0","0","0,4287","N","4,0677","4,0677","44624,58","Dark","0,2173","0,006","0","16"
"#","7464","36,35","2025-11-16 00:00:00.000","32251","31068","3,67","3,67","44,25","3,422","13,44","1,614","1,565","96,33","77,33","461,56","282,92","106300","1,67689","1,636","0","1,0164","2,6596","0,0102","0","0","0,4781","N","4,1643","4,1643","50827,25","Dark","0,2874","0,014","0","14"
"#","2954","38,4","2025-10-21 00:00:00.000","42500","40513","4,68","4,68","47","3,254","13,28","1,518","1,506","95,32","68,5","434,74","263,73","131830","1,738794","1,674","0","0,9252","2,4554","0,026","0","0","0,5144","P","3,921","3,921","67818,76","Convencional","NULL","0,036","0","19"
"#","2868","54,65","2025-10-17 00:00:00.000","61000","58292","4,44","4,44","45,51","3,15","13,2","1,659","1,67","95,56","69,22","398,69","242,44","183600","1,254233","1,2599","0","1,1183","3,0022","0,0132","0","0","0,4","N","4,5337","4,5337","73440","automatizado","0,0578","0,016","0","24"
"#","3971","11,81","2025-11-07 00:00:00.000","33600","31650","5,8","5,8","41,24","3,115","14","1,616","1,635","94,2","75,53","440,3","263,89","98580","1,681709","1,44","0","0,803","2,7216","0,0198","0","0","0,4623","N","4,0067","4,0067","45576","","0,3071","0,052","0","23"
"#","3968","42,71","2025-11-06 00:00:00.000","32100","27422","14,57","14,57","45,03","3,577","14,33","1,704","1,62","85,43","79,44","398,25","216,53","98100","1,686643","1,47","0","0,7709","2,8773","0,0232","0","0","0,4109","N","4,0823","4,0823","40310,34","","0,2786","0,056","0","21"
"#","2816","65,78","2025-10-24 00:00:00.000","31300","29495","5,77","5,77","46,67","3,383","13,04","1,8","1,759","94,23","72,49","379,47","227,53","99770","1,499091","1,45","0","0,7391","3,0042","0,015","0","0","0,4287","N","4,187","4,187","42767,75","","0,1183","0,034","0","21"
"#","7442","13,63","2025-11-12 00:00:00.000","14100","13539","3,98","3,98","40,56","2,705","11,75","1,619","1,729","96,02","66,69","395,53","241,66","36620","1,0185","0,9818","0","0","2,8792","0,0202","0","0","0,363","P","3,2624","3,2624","13293,06","semi-automatizado","0,1099","0,029","0","20"
"#","3979","31,63","2025-10-23 00:00:00.000","12200","11720","3,93","3,93","49,6","3,543","10,17","1,717","1,641","96,07","71,43","399,67","244,29","41520","1,452376","1,4234","0","0,2358","3,0392","0,0378","0","0","0,4018","N","3,7146","3,7146","16682,74","nao-automatizado","0,103","0,06","0","16"
"#","5718","96,72","2025-11-07 00:00:00.000","38200","35551","6,93","6,93","44","3,218","14,04","1,688","1,684","93,07","73,14","403,25","238,84","114414","1,555639","1,46","0","0,3933","2,8362","0,0639","0","0","0,4537","N","3,7471","3,7471","51904,46","Automatizado","0,1573","0,081","0","15"
"#","5720","12,55","2025-11-07 00:00:00.000","38200","35840","6,18","6,18","44,19","3,244","14,04","1,775","1,765","93,82","73,41","388,02","231,68","116270","1,585996","1,4","0","0","2,9893","0,0409","0","0","0,4315","N","3,4617","3,4617","50176","Automatizado","0,2472","0,057","0","17"
"#","5616","95,59","2025-10-23 00:00:00.000","27500","25560","7,05","7,05","42,95","2,725","13,22","1,726","1,832","92,95","63,45","341,67","202,09","69650","0,923313","1,1","0","0,9302","2,814","0,0051","0","0","0,4037","P","4,153","4,153","28116","","0,0982","0,023","94,2","24"
"#","7639","26,58","2025-11-14 00:00:00.000","19400","18629","3,97","3,97","45,02","3,356","12,93","1,685","1,65","96,03","74,54","424,84","259,6","62520","1,675374","1,484","0","1,0426","2,9719","0,0007","0","0","0,4422","N","4,4574","4,4574","27646,34","Automatizado","0,2185","0,021","0","0"
"#","4330","23,8","2025-11-04 00:00:00.000","21300","20069","5,78","5,78","43,84","2,704","13,65","1,592","1,702","94,22","61,68","365,04","218,89","54270","1,410322","1,35","0","0,9247","2,6154","0,012","0","0","0,4992","P","4,0513","4,0513","27093,15","Não automatizado","0,1172","0,026","90,77","15"
"#","7187","49,47","2025-11-14 00:00:00.000","37168","35268","5,11","5,11","43,17","3,172","14,11","1,676","1,682","94,89","73,48","416","251,19","111870","1,500679","1,45","0","1,113","2,7718","0,0107","0","0","0,4571","N","4,3526","4,3526","51138,6","Dark","0,277","0,011","0","16"
"#","6937","80,5","2025-10-31 00:00:00.000","32500","30080","7,45","7,45","43,08","2,846","13,54","1,7","1,779","92,55","66,06","359,66","211,85","85620","1,403651","1,29","0","0,8943","2,8193","0,0069","0","0","0,4532","N","4,1737","4,1737","38803,2","Dark","0,178","0,042","0","18"
"#","1388","50,88","2025-10-28 00:00:00.000","24500","23295","4,92","4,92","45,42","3,253","11,53","1,909","1,897","95,08","71,62","356,71","215,84","75780","1,336884","1,2","0","0,7617","3,1268","0,0199","0","0","0,3689","N","4,2773","4,2773","27954","","0,2006","0,025","0","40"
"#","7441","29,5","2025-11-11 00:00:00.000","14200","13812","2,73","2,73","40,45","2,669","11,83","1,606","1,724","97,27","65,98","399,63","247,33","36860","1,100001","1,0723","0","0","2,8344","0,02","0","0","0,4018","P","3,2562","3,2562","14810,35","semi-automatizado","0,0995","0,031","0","19"
"#","2742","62,19","2025-10-22 00:00:00.000","32100","30405","5,28","5,28","42,88","2,767","13,38","1,716","1,812","94,72","64,53","356,19","214,69","84130","1,610614","1,46","0","0,8989","2,8146","0,035","0","0","0,5277","N","4,2762","4,2762","44391,3","Dark","0,2178","0,057","0","22"
"#","3996","26,67","2025-10-31 00:00:00.000","10400","10142","2,48","2,48","41,82","2,773","11,56","1,612","1,707","97,52","66,31","401,14","248,89","28120","1,201469","1,119","0","0","2,9112","0,032","0","0","0,4036","N","3,3468","3,3468","11349,23","nao-automatizado","0,1407","0,044","0","17"
"#","3978","37,63","2025-10-22 00:00:00.000","12800","11918","6,89","6,89","47,68","3,388","10,67","1,757","1,715","93,11","71,06","376,56","223,11","40380","1,154988","1,1252","0","0","3,1368","0,0371","0","0","0,3321","N","3,506","3,506","13410,2","nao-automatizado","0,1027","0,06","0","16"
"#","6888","83,11","2025-10-25 00:00:00.000","30700","28772","6,28","6,28","47,22","3,437","13,64","1,553","1,5","93,72","72,79","439,25","261,95","98880","1,638368","1,579","0","0,7315","2,5565","0,0584","0","0","0,4595","N","3,8059","3,8059","45430,99","Dark","0,1177","0,068","0","20"
"#","7107","38,71","2025-11-05 00:00:00.000","25000","24022","3,91","3,91","43,57","2,969","11,9","1,632","1,683","96,09","68,14","401,22","245,34","71320","1,213478","1,1983","0","0","2,9308","0,0394","0","0","0,4036","P","3,3738","3,3738","28784,75","automatizado","0,09","0,055","0","20"
"#","7190","91,41","2025-11-14 00:00:00.000","32500","31014","4,57","4,57","44,13","3,134","13,54","1,67","1,685","95,43","71,02","405,82","246,44","97200","1,434061","1,49","0","0,863","2,7815","0,0112","0","0","0,4754","N","4,1311","4,1311","46210,86","Dark","0,2174","0,011","0","18"
"#","7206","82,84","2025-11-14 00:00:00.000","30000","29060","3,13","3,13","44,59","3,281","13,33","1,667","1,649","96,87","73,58","427,58","263,59","95350","1,378442","1,46","0","1,0697","2,7671","0,0063","0","0","0,445","N","4,2881","4,2881","42427,6","Dark","0,2175","0,021","0","16"
"#","7457","88,81","2025-11-16 00:00:00.000","32125","31003","3,49","3,49","44,04","3,427","13,38","1,571","1,521","96,51","77,82","478,04","293,59","106250","1,721152","1,753","0","0,6894","2,5927","0,0238","0","0","0,5115","N","3,8174","3,8174","54348,26","Dark","0,2174","0,028","0","16"
"#","7489","28,25","2025-11-12 00:00:00.000","21000","20275","3,45","3,45","40,5","3,013","11,72","1,526","1,568","96,55","74,4","470,7","289,17","61080","1,812058","1,5881","0","0","2,7224","0,0289","0","0","0,5271","N","3,2784","3,2784","32198,32","automatizado","0,3","0,044","0","19"
"#","4247","60","2025-10-31 00:00:00.000","31000","29630","4,42","4,42","45,17","3,299","13,78","1,679","1,657","95,58","73,04","415,77","252,89","97750","1,541791","1,41","0","0","2,8368","0,0102","0","0","0,4274","N","3,2744","3,2744","41778,3","Dark","0,1972","0,035","0","29"
"#","6909","40,25","2025-10-25 00:00:00.000","27500","27116","1,4","1,4","40,13","2,808","13,1","1,564","1,651","98,6","69,97","441,13","276,82","76150","1,370673","1,215","0","0,8508","2,5177","0,014","0","0","0,4326","N","3,8151","3,8151","32945,94","Dark","0,2277","0,034","110,38","16"
"#","7479","23,2","2025-11-17 00:00:00.000","32500","31668","2,56","2,56","27,26","1,199","13,54","1,589","2,034","97,44","43,98","269,72","167,25","37970","1,472412","1,35","0","0,1971","2,6992","0,0016","0","0","1,1259","N","4,0238","4,0238","42751,8","","0,1971","0,043","0","17"
"#","357","61,67","2025-11-12 00:00:00.000","23700","22778","3,89","3,89","46,31","3,565","13,17","1,491","1,41","96,11","76,98","496,22","303,47","81200","2,55937","2,014","0","0,7533","2,4589","0,0185","0","0","0,565","N","3,7957","3,7957","45874,89","Dark","0,6178","0,061","0","59"
"#","341","24,45","2025-11-12 00:00:00.000","18000","17700","1,67","1,67","43,69","3,069","10,71","1,657","1,686","98,33","70,24","416,85","260,83","54320","1,754885","1,52","0","0,8553","2,73","0,0115","0","0","0,4953","N","4,0921","4,0921","26904","Dark","0,3012","0,041","0","60"
"#","6891","50,33","2025-10-27 00:00:00.000","22000","20798","5,46","5,46","43,28","3,226","12,57","1,585","1,579","94,54","74,54","444,59","267,44","67090","1,689649","1,64","0","0,7726","2,5373","0,0877","0","0","0,5084","P","3,906","3,906","34108,72","","0,1188","0,112","0","20"
"#","6950","33,04","2025-11-07 00:00:00.000","32500","31585","2,82","2,82","40,44","2,733","13,54","1,593","1,697","97,18","67,58","412,28","254,98","86320","1,575183","1,36","0","0,887","2,7008","0,0131","0","0","0,4976","P","4,0985","4,0985","42955,6","","0,2871","0,033","143,91","19"
"#","6927","99,79","2025-11-06 00:00:00.000","32000","29211","8,72","8,72","41,46","2,765","13,33","1,654","1,751","91,28","66,69","368,05","213,77","80760","1,794367","1,69","0","0,9335","2,7814","0,0083","0","0","0,6113","N","4,3345","4,3345","49366,59","","0,1685","0,037","0","24"
"#","6952","89,67","2025-11-08 00:00:00.000","36600","35788","2,22","2,22","40,32","2,736","14,3","1,568","1,671","97,78","67,86","423,16","263,34","97930","1,043448","1,41","0","0,8805","2,6287","0,0269","0","0","0,5153","P","4,0514","4,0514","50461,08","Dark","0,1159","0,07","169,06","16"
"#","2529","18,5","2025-10-17 00:00:00.000","35000","33720","3,66","3,66","45,19","3,43","12,87","1,65","1,599","96,34","75,9","443,17","271,68","115650","0,402129","1,516","0","0,713","2,6193","0,0147","0","0","0,442","P","3,789","3,789","51119,52","","0,3082","0,028","171,26","24"
"#","3969","69,72","2025-11-03 00:00:00.000","40000","39092","2,27","2,27","42,88","2,382","13,47","1,796","1,978","97,73","55,55","302,28","188,03","93130","1,006898","1,01","0","1,4388","2,9845","0,0275","0","0","0,424","P","4,8748","4,8748","39482,92","Dark","0,0673","0,038","0","20"
"#","6943","3,64","2025-10-17 00:00:00.000","56069","54445","2,9","2,9","46","2,94","13,81","1,642","1,7","97,1","63,5","377,95","233,5","160046","1,555478","1,461","0","0","2,6555","0,0382","0","0","0,497","N","3,1907","3,1907","79544,15","Dark","NULL","0,061","0","0"
"#","7518","19,42","2025-11-01 00:00:00.000","56000","53442","4,57","4,57","49","3,573","13,79","1,697","1,614","95,43","72,5","410,05","249","190934","1,306969","1,487","0","0,8418","2,7006","0,0218","0","0","0,4162","N","3,9804","3,9804","79468,25","Dark","NULL","0,037","0","11"
"#","6925","90,64","2025-10-29 00:00:00.000","26500","25410","4,11","4,11","41,65","2,6","11,04","1,686","1,819","95,89","62,42","355,04","216,65","66070","1,369932","1,21","0","0,945","2,7461","0,0934","0","0","0,4654","N","4,2499","4,2499","30746,1","Dark","0,2213","0,127","0","18"
"#","7116","26,95","2025-11-05 00:00:00.000","15400","15024","2,44","2,44","42,31","3,14","12,83","1,553","1,566","97,56","74,21","466,22","289,47","47180","1,720882","1,6336","0","0","2,7629","0,024","0","0","0,5202","N","3,3071","3,3071","24543,04","automatizado","0,148","0,031","0","16"
"#","6900","86,88","2025-11-01 00:00:00.000","28000","27032","3,46","3,46","41,81","2,822","13,33","1,644","1,728","96,54","67,5","396,35","243,5","76280","1,533232","1,47","0","1,0535","2,7247","0,0211","0","0","0,5209","N","4,3202","4,3202","39737,04","","0,1378","0,046","0","23"
"#","4335","48,5","2025-11-06 00:00:00.000","12868","12187","5,29","5,29","40,76","2,976","10,13","1,646","1,696","94,71","73,01","420,11","253,2","36270","1,486494","1,29","0","1,0182","2,7221","0,0062","0","0","0,4334","N","4,1799","4,1799","15721,23","","0,2834","0,04","0","16"
"#","4017","59,08","2025-10-31 00:00:00.000","32000","30408","4,97","4,97","46,54","3,526","13,33","1,686","1,614","95,03","75,76","427,03","258,21","107220","1,486736","1,457","0","0,9998","2,7844","0,0224","0","0","0,4132","P","4,2198","4,2198","44304,46","Dark","0,0978","0,031","0","15"
"#","4010","66,83","2025-10-31 00:00:00.000","31000","30093","2,93","2,93","42,6","3,304","12,92","1,59","1,567","97,07","77,56","473,5","292,54","99440","1,65821","1,629","0","1,0599","2,6257","0,0196","0","0","0,493","P","4,1982","4,1982","49021,5","Automatizado","0,0979","0,029","0","15"
"#","7493","33,94","2025-11-07 00:00:00.000","25000","24105","3,58","3,58","45,73","3,277","10,42","1,735","1,718","96,42","71,66","398,24","244,37","79000","1,382713","1,3057","0","1,0759","3,0537","0,0006","0","0","0,3984","N","4,5286","4,5286","31473,6","nao-automatizado","0,1424","0,014","0","16"
"#","5621","42,16","2025-10-20 00:00:00.000","32000","30954","3,27","3,27","45,26","3,535","13,33","1,61","1,536","96,73","78,1","469,26","288,89","109430","2,206148","1,75","0","0,689","2,5664","0,0538","0","0","0,495","N","3,8042","3,8042","54169,5","","0,5274","0,068","0","20"
"#","5005","15,22","2025-10-31 00:00:00.000","32500","30200","7,08","7,08","42,25","2,948","13,54","1,607","1,663","92,92","69,78","403,45","238,55","89020","1,683308","1,55","0","0","2,641","0,0265","0","0","0,5258","P","3,1933","3,1933","46810","","0,2079","0,059","156,83","23"
"#","5010","43,22","2025-10-28 00:00:00.000","36000","33962","5,66","5,66","44,17","3,192","13,33","1,63","1,632","94,34","72,27","418,26","251,11","108420","1,642575","1,37","0","0,7823","2,6543","0,0617","0","0","0,4291","N","3,9274","3,9274","46527,94","Dark","0,3281","0,089","0","19"
"#","4051","8,71","2025-10-24 00:00:00.000","54000","52765","2,29","2,29","48","3,24","13,3","1,617","1,608","97,71","67","407,88","253,64","170976","1,595","1,595","0","0,9064","2,5946","0,0888","0","0","0,4922","N","4,082","4,082","84160,18","Convencional","NULL","0,121","0","14"
"#","7636","72,57","2025-11-13 00:00:00.000","57600","55155","4,24","4,24","46","3,442","14,19","1,665","1,611","95,76","74","430,35","262,2","189830","0,507601","1,554","0","0,8708","2,6081","0,0316","0","0","0,4515","N","3,962","3,962","85710,87","Dark","NULL","0,043","0","15"
"#","7175","31,83","2025-10-31 00:00:00.000","40000","39055","2,36","2,36","40,22","2,576","11,11","1,607","1,746","97,64","64,05","389,15","241,81","100620","2,29074","1,5","0","1,4615","2,6733","0,0062","0","0","0,5822","N","4,7232","4,7232","58582,5","Dark","0,7907","0,013","0","0"
"#","6968","62,33","2025-11-10 00:00:00.000","35200","34054","3,26","3,26","42,73","2,698","13,75","1,711","1,823","96,74","63,14","357","219,8","91880","1,351798","1,3","0","0,9888","2,8728","0,0073","0","0","0,4818","P","4,3507","4,3507","44270,2","Dark","0,1167","0,036","148,32","18"
"#","5721","NULL","2025-11-04 00:00:00.000","50000","47927","4,15","4,15","43,69","3,244","13,89","1,612","1,602","95,85","74,25","441,5","269,3","155480","1,202749","1,422","0","1,0934","2,685","0,0015","0","0","0,4383","N","4,2182","4,2182","68152,19","","0,3469","0,008","0","15"
"#","3992","31,75","2025-10-27 00:00:00.000","31700","30472","3,87","3,87","44,67","3,231","13,21","1,539","1,532","96,13","72,33","451,79","276,37","98460","1,858728","1,79","0","0,4038","2,7223","0,0243","0","0","0,554","P","3,7044","3,7044","54544,88","Automatizado","0,1377","0,042","0","14"
"#","2572","64,75","2025-10-18 00:00:00.000","21600","20358","5,75","5,75","44,18","3,472","14,4","1,62","1,56","94,25","78,59","457,21","274,23","70680","1,804478","1,639","0","0,72","2,6137","0,0119","0","0","0,4721","P","3,8177","3,8177","33366,76","","0,2169","0,024","0","24"
"#","2579","60,7","2025-10-21 00:00:00.000","19000","18168","4,38","4,38","43,09","2,883","12,93","1,695","1,765","95,62","66,91","377,44","229,68","52380","1,383784","1,41","0","1,2333","2,6528","0,0031","0","0","0,4891","P","4,3783","4,3783","25616,88","Automatizado","0,0482","0,028","0","25"
"#","2831","94,92","2025-10-24 00:00:00.000","20300","18510","8,82","8,82","45,23","3,458","12,53","1,682","1,625","91,18","76,45","414,45","240,48","64010","1,502512","1,45","0","0,7472","2,7777","0,0518","0","0","0,4193","P","3,996","3,996","26839,5","Dark","0,1194","0,062","0","18"
"#","6918","65,65","2025-10-26 00:00:00.000","19500","18655","4,33","4,33","43,75","2,963","12,9","1,55","1,603","95,67","67,73","418,02","254,48","55270","1,212839","1,49","0","1,0126","2,5751","0,0699","0","0","0,5029","P","4,1605","4,1605","27795,95","Dark","0,0685","0,104","0","17"
"#","3999","28,83","2025-11-04 00:00:00.000","19400","18783","3,18","3,18","43,8","3,226","12,93","1,599","1,593","96,82","73,65","445,97","274,81","60600","1,779484","1,7","0","0","2,8338","0,0223","0","0","0,5269","P","3,383","3,383","31931,1","Dark","0,1484","0,044","0","18"
"#","4337","85,64","2025-11-07 00:00:00.000","27500","26726","2,81","2,81","41,73","2,94","13,1","1,678","1,736","97,19","70,45","408,06","252,37","78570","0,680271","1,32","0","0,8246","2,7886","0,0023","0","0","0,449","P","4,0645","4,0645","35278,32","Dark","0,028","0,014","0","16"
"#","7536","7,33","2025-11-04 00:00:00.000","26000","24999","3,85","3,85","55","3,459","13,87","1,88","1,822","96,15","62,5","321,65","196,84","86484","1,217","1,217","0","0,8628","2,9864","0,0399","0","0","0,3518","N","4,2409","4,2409","30423,78","Convencional","NULL","0,051","0","18"
"#","2949","51,78","2025-10-15 00:00:00.000","42000","40550","3,45","3,45","49","3,118","13,13","1,699","1,717","96,55","63","361,61","222,19","126440","1,471554","1,428","0","0,9533","2,7428","0,0491","0","0","0,458","N","4,2032","4,2032","57905,4","Convencional","NULL","0,095","0","13"
"#","6936","66,66","2025-11-05 00:00:00.000","33300","31277","6,08","6,08","43,62","2,845","13,88","1,734","1,813","93,92","65,22","353,27","211,15","88980","1,232424","1,15","0","0,8817","2,9249","0,0099","0","0","0,4042","N","4,2207","4,2207","35968,55","Dark","0,1173","0,047","0","23"
"#","4258","93,57","2025-10-26 00:00:00.000","28705","28002","2,45","2,45","43,5","2,832","13,2","1,619","1,701","97,55","65,1","392,27","243,52","79300","1,22342","1,21","0","1,0389","2,6641","0,0669","0","0","0,4273","N","4,1972","4,1972","33882,42","","0,0677","0,091","0","20"
"#","5044","94,64","2025-10-31 00:00:00.000","31700","31025","2,13","2,13","42,18","3,152","13,21","1,531","1,542","97,87","74,73","477,7","297,53","97800","1,734209","1,69","0","0,7637","2,5156","0,0066","0","0","0,5361","N","3,822","3,822","52432,25","","0,1174","0,027","175,66","18"
"#","7534","58,17","2025-11-05 00:00:00.000","22000","21334","3,03","3,03","54","3,601","10,48","1,912","1,823","96,97","66","338,2","208,68","76814","1,265","1,265","0","0","3,0414","0,0506","0","0","0,3513","N","3,4433","3,4433","26987,51","Convencional","NULL","0,063","0","21"
"#","7461","66,25","2025-11-14 00:00:00.000","16160","15344","5,05","5,05","43,08","3,177","13,47","1,659","1,664","94,95","73,75","422,08","255,06","48750","1,236138","1,43","0","1,1105","2,7395","0,023","0","0","0,4501","N","4,3231","4,3231","21941,92","Dark","0,2176","0,031","0","10"
"#","3967","64,85","2025-11-06 00:00:00.000","32100","28833","10,18","10,18","45,03","3,386","14,33","1,72","1,679","89,82","75,19","392,67","224,45","97630","1,528765","1,37","0","0,7746","2,898","0,0527","0","0","0,4046","N","4,1299","4,1299","39501,21","Dark","0,2177","0,085","0","21"
"#","5055","0","2025-11-05 00:00:00.000","20400","19705","3,41","3,41","42,24","3,06","14,17","1,639","1,67","96,59","72,44","426,92","262,44","60300","1,536636","1,36","0","0,6798","2,7429","0,0148","0","0","0,4444","N","3,8819","3,8819","26798,8","Automatizado","0,2167","0,062","0","22"
"#","3994","84,71","2025-11-01 00:00:00.000","18500","17483","5,5","5,5","47,48","3,479","12,35","1,759","1,697","94,5","73,27","393,65","236,72","60820","1,321853","1,3599","0","0","3,0858","0,0304","0","0","0,3909","N","3,5071","3,5071","23774,54","automatizado","0,2189","0,048","0","22"
"#","7177","48,82","2025-10-29 00:00:00.000","56000","53416","4,61","4,61","49","3,571","13,79","1,701","1,619","95,39","72,5","408,69","248,09","190756","1,731948","1,487","0","0,8425","2,7152","0,0017","0","0","0,4164","P","3,9758","3,9758","79429,59","Dark","NULL","0,007","0","15"
"#","6934","80,56","2025-10-30 00:00:00.000","15000","14420","3,87","3,87","41,58","2,863","12,5","1,77","1,845","96,13","68,86","373,96","228,76","41280","1,270594","1,26","0","0,8561","2,9291","0,0555","0","0","0,4401","P","4,2808","4,2808","18169,2","Dark","0,0687","0,077","0","17"
"#","4001","44,88","2025-11-03 00:00:00.000","26300","25008","4,91","4,91","43,58","2,91","12,52","1,665","1,729","95,09","66,77","381,35","230,78","72780","1,082711","1,0663","0","0","2,9402","0,0212","0","0","0,3664","P","3,3278","3,3278","26666,59","Automatizado","0,0792","0,036","0","19"
"#","7191","51,68","2025-11-14 00:00:00.000","30000","27783","7,39","7,39","44,25","3,156","13,33","1,732","1,742","92,61","71,32","381,36","224,78","87690","1,290028","1,37","0","1,1632","2,8877","0,0068","0","0","0,4341","N","4,4918","4,4918","38062,71","Dark","0,2184","0,007","0","17"
"#","7186","45,63","2025-11-15 00:00:00.000","31200","30262","3,01","3,01","44,93","3,355","13,42","1,652","1,618","96,99","74,67","438,4","270,57","101520","1,56395","1,54","0","0,7932","2,755","0,0107","0","0","0,4591","N","4,018","4,018","46603,48","Dark","0,2773","0,011","0","16"
"#","2813","24,06","2025-10-21 00:00:00.000","32000","31026","3,04","3,04","43,21","2,979","13,33","1,645","1,694","96,96","68,94","406,36","250,75","92440","1,621603","1,39","0","0,8156","2,7069","0,0134","0","0","0,4665","N","4,0024","4,0024","43126,14","Dark","0,2974","0,033","0","21"
"#","2822","91,2","2025-10-22 00:00:00.000","27900","25244","9,52","9,52","42,15","2,9","13,29","1,745","1,812","90,48","68,8","356,74","205,43","73220","1,056442","1,01","0","0,7369","2,8104","0,0198","0","0","0,3482","P","3,9153","3,9153","25496,44","","0,119","0,042","0","20"

