"Reduz","Lote","Calo_Pe","Alojamento","Alojadas","Abatidas","% Mort","morte_perc","Idade","P.M.","densidade","C.A.","C.A.C.","viabilidade_lote","GPD","fator_prod","IEP","peso_total","pgto_ave_produtor","pag_ave","Custo Fomento","Custo Pinto","Custo Racao","Custo Medic","Custo FV","Custo Pega","Custo Integrado","controle_laudo","Custo Granja","Custo Plataforma","pgto_liquido_produtor","tipo_galpao","Pgto_Ave_Bon","vlr_med_peso","vlr_contribuicao_sind","IEL"
"#","1428","24,21","2025-10-22 00:00:00.000","42000","39763","5,33","5,33","47,51","3,536","13,89","1,76","1,685","94,67","74,43","400,34","241,18","140590","2,110976","1,314","0","0,1001","2,8811","0,0455","0","0","0,3716","N","3,3983","3,3983","52248,58","Dark","0,797","0,067","0","30"
"#","4050","26,71","2025-10-27 00:00:00.000","57200","55904","2,27","2,27","46","3,324","14,09","1,596","1,568","97,73","71,5","442,48","275,19","185816","1,635282","1,481","0","0,8835","2,5522","0,0817","0","0","0,4456","N","3,963","3,963","82793,82","Convencional","NULL","0,116","0","17"
"#","6933","64,08","2025-10-30 00:00:00.000","25000","24050","3,8","3,8","42,75","3,127","10,42","1,593","1,609","96,2","73,15","441,72","270,43","75210","1,317677","1,46","0","0,7831","2,6418","0,0595","0","0","0,4669","P","3,9513","3,9513","35113","Automatizado","0,0725","0,075","0","17"
"#","6954","55,11","2025-11-05 00:00:00.000","30900","28980","6,21","6,21","46,45","3,48","13,73","1,604","1,542","93,79","74,92","438,07","261,47","100860","1,195592","1,561","0","0,7218","2,7094","0,0352","0","0","0,4485","P","3,9149","3,9149","45237,78","","0,0176","0,044","0","13"
"#","6923","78,8","2025-10-28 00:00:00.000","18500","17560","5,08","5,08","42,94","3,075","12,23","1,695","1,723","94,92","71,61","401,02","242,26","54000","1,064762","1,34","0","0,8071","2,8263","0,0565","0","0","0,4357","N","4,1256","4,1256","23530,4","","0,0696","0,073","0","17"
"#","7205","36,72","2025-11-13 00:00:00.000","33200","31028","6,54","6,54","46,78","3,587","13,83","1,615","1,529","93,46","76,68","443,74","263,9","111290","1,973525","1,654","0","0,77","2,7265","0,0325","0","0","0,4611","N","3,9901","3,9901","51320,31","Dark","0,3874","0,057","171,94","14"
"#","3980","40,58","2025-10-23 00:00:00.000","19800","18318","7,48","7,48","47,1","3,722","13,2","1,685","1,569","92,52","79,02","433,9","255,46","68180","1,791056","1,7577","0","0,1839","3,0195","0,0232","0","0","0,4723","N","3,6989","3,6989","32198,01","automatizado","0,0988","0,029","0","100"
"#","7188","53,37","2025-11-09 00:00:00.000","50500","48524","3,91","3,91","41,07","2,91","14,03","1,605","1,669","96,09","70,85","424,2","259,37","141200","1,986902","1,58","0","0,1259","2,6691","0,0204","0","0","0,543","P","3,3584","3,3584","76667,92","Dark","0,4667","0,029","0","12"
"#","2526","88,13","2025-10-19 00:00:00.000","27000","25666","4,94","4,94","44,08","2,893","13,78","1,717","1,785","95,06","65,63","363,36","219,77","74240","1,203393","1,05","0","0,6728","2,7385","0,0078","0","0","0,363","N","3,7821","3,7821","26949,3","","0,2169","0,032","90,29","25"
"#","4014","87,03","2025-11-07 00:00:00.000","37700","36086","4,28","4,28","44,2","3,168","13,86","1,614","1,621","95,72","71,67","425,07","258,9","114309","1,496296","1,44","0","0,777","2,7162","0,0107","0","0","0,4546","N","3,9585","3,9585","51963,84","","0,117","0,031","0","20"
"#","1390","57,96","2025-10-16 00:00:00.000","47000","45003","4,25","4,25","44,56","3,524","24,63","1,609","1,537","95,75","79,08","470,62","286,75","158590","1,863554","1,7539","0","0,6982","2,5267","0,0768","0","0","0,4977","N","3,7994","3,7994","78930,24","Dark","0,1097","0,098","0","27"
"#","1421","72,55","2025-10-21 00:00:00.000","20000","19710","1,45","1,45","42,92","3,295","10,58","1,716","1,695","98,55","76,77","440,89","276,47","64940","1,546958","1,4256","0","1,0471","2,7096","0,0494","0","0","0,4327","N","4,2388","4,2388","28099,54","Dark","0,1213","0,074","0","28"
"#","7105","27","2025-10-30 00:00:00.000","73600","64160","12,83","12,83","46,9","3,404","12,39","1,738","1,693","87,17","72,58","364,03","201,97","218420","1,091399","1,0441","0","0","3,0593","0,0162","0","0","0,3067","N","3,3822","3,3822","66989,41","automatizado","0,2808","0,033","0","11"
"#","7469","62,25","2025-11-15 00:00:00.000","18300","16680","8,85","8,85","44,67","3,107","12,71","1,742","1,763","91,15","69,55","363,94","211,07","51820","1,369479","1,25","0","0,9115","2,9252","0,0156","0","0","0,4024","N","4,2547","4,2547","20850","","0,1798","0,034","0","16"
"#","6899","93,42","2025-10-28 00:00:00.000","27300","25365","7,09","7,09","44,59","3,084","12,55","1,655","1,681","92,91","69,16","388,28","229,57","78230","1,289617","1,28","0","0,8222","2,7634","0,0632","0","0","0,415","P","4,0638","4,0638","32467,2","","0,0695","0,109","0","20"
"#","7535","31,04","2025-11-04 00:00:00.000","25000","24153","3,39","3,39","50","3,249","13,33","1,854","1,843","96,61","64,5","338,6","208,15","78464","1,287","1,287","0","0,9144","2,9406","0,044","0","0","0,3962","N","4,2952","4,2952","31084,91","Convencional","NULL","0,056","0","20"
"#","3977","38,43","2025-10-22 00:00:00.000","28000","26622","4,92","4,92","46,53","3,656","13,33","1,635","1,534","95,08","78,57","456,92","276,47","97340","2,116592","1,895","0","0","2,9126","0,0381","0","0","0,5183","P","3,469","3,469","50448,69","Automatizado","0,288","0,047","0","20"
"#","6935","86,03","2025-11-04 00:00:00.000","33500","32640","2,57","2,57","42,01","2,706","13,96","1,625","1,735","97,43","64,41","386,2","239,46","88330","1,232147","1,14","0","0,8935","2,736","0,0028","0","0","0,4213","N","4,0536","4,0536","37209,6","Dark","0,1165","0,041","0","25"
"#","7117","27,42","2025-11-14 00:00:00.000","11300","10947","3,12","3,12","45,54","3,228","12,56","1,677","1,671","96,88","70,88","409,49","252,45","35340","1,364843","1,3443","0","0,6971","2,9347","0,0112","0","0","0,4164","P","4,0594","4,0594","14715,58","automatizado","0,0892","0,021","0","24"
"#","7637","43,96","2025-11-14 00:00:00.000","56175","53231","5,24","5,24","47","3,443","13,84","1,656","1,602","94,76","72,5","419,18","252,79","183276","1,481","1,511","0","0,8797","2,5968","0,0327","0","0","0,4389","N","3,9481","3,9481","80432,04","Dark","NULL","0,045","0","15"
"#","3993","36,44","2025-10-27 00:00:00.000","27300","25844","5,33","5,33","46,52","3,554","13","1,624","1,545","94,67","76,4","445,35","268,32","91860","1,604765","1,9","0","0,6557","2,8629","0,0115","0","0","0,5345","P","4,0646","4,0646","49103,6","Dark","0,2505","0,028","0","19"
"#","4034","58,83","2025-11-04 00:00:00.000","13200","12627","4,34","4,34","43,07","2,609","11","1,7","1,831","95,66","60,58","340,86","207,55","32950","1,259375","1,3","0","0,9438","2,7841","0,0197","0","0","0,4982","N","4,2458","4,2458","16415,1","Não automatizado","0,0414","0,042","54,99","15"
"#","5713","61,64","2025-11-08 00:00:00.000","29500","28308","4,04","4,04","41,44","2,764","14,05","1,716","1,813","95,96","66,7","372,98","227,79","78250","1,365497","1,22","0","0,8882","2,8303","0,0296","0","0","0,4414","N","4,1895","4,1895","34535,76","","0,217","0,051","115,7","17"
